method,delta,group,positions,articles,top1_green_mean,top1_green_p10,top1_green_median,top1_green_p90,top1_p_mean,top1_p_p10,top1_p_median,top1_p_p90,green_before_mean,green_before_p10,green_before_median,green_before_p90,top1_q_mean,top1_q_p10,top1_q_median,top1_q_p90,top1_rank_after_mean,top1_rank_after_p10,top1_rank_after_median,top1_rank_after_p90,top1_flip_mean,top1_flip_p10,top1_flip_median,top1_flip_p90,green_after_mean,green_after_p10,green_after_median,green_after_p90,entropy_before_mean,entropy_before_p10,entropy_before_median,entropy_before_p90,entropy_after_mean,entropy_after_p10,entropy_after_median,entropy_after_p90,expected_bart_nll_shift_mean,expected_bart_nll_shift_p10,expected_bart_nll_shift_median,expected_bart_nll_shift_p90,k90_before_mean,k90_before_p10,k90_before_median,k90_before_p90,k90_after_mean,k90_after_p10,k90_after_median,k90_after_p90,head90_before_mean,head90_before_p10,head90_before_median,head90_before_p90,head90_after_mean,head90_after_p10,head90_after_median,head90_after_p90,head90_shift_mean,head90_shift_p10,head90_shift_median,head90_shift_p90,k95_before_mean,k95_before_p10,k95_before_median,k95_before_p90,k95_after_mean,k95_after_p10,k95_after_median,k95_after_p90,head95_before_mean,head95_before_p10,head95_before_median,head95_before_p90,head95_after_mean,head95_after_p10,head95_after_median,head95_after_p90,head95_shift_mean,head95_shift_p10,head95_shift_median,head95_shift_p90,k98_before_mean,k98_before_p10,k98_before_median,k98_before_p90,k98_after_mean,k98_after_p10,k98_after_median,k98_after_p90,head98_before_mean,head98_before_p10,head98_before_median,head98_before_p90,head98_after_mean,head98_after_p10,head98_after_median,head98_after_p90,head98_shift_mean,head98_shift_p10,head98_shift_median,head98_shift_p90,head90_decrease_fraction,head90_drop_over_5pp_fraction,head90_shift_article_mean,k90_increase_fraction,head95_decrease_fraction,head95_drop_over_5pp_fraction,head95_shift_article_mean,k95_increase_fraction,head98_decrease_fraction,head98_drop_over_5pp_fraction,head98_shift_article_mean,k98_increase_fraction
NW,0.0,all,35795,500,0.49797457745495183,0.0,0.0,1.0,0.79089396719708,0.4011554479598999,0.9181032180786133,0.995234739780426,0.4991504585054607,0.003203957062214613,0.4985857903957367,0.9968653559684754,0.79089396719708,0.4011554479598999,0.9181032180786133,0.995234739780426,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4991504585054607,0.003203957062214613,0.4985857903957367,0.9968653559684754,0.8280143904458633,0.07013055086135864,0.47205477952957153,2.131935405731202,0.8280143905164167,0.07013055831193923,0.47205477952957153,2.131935405731202,0.0,0.0,0.0,0.0,6.793406900405085,1.0,1.0,8.0,6.793406900405085,1.0,1.0,8.0,0.9538090130373292,0.903142762184143,0.9604960083961487,0.9952361702919006,0.9538090130373292,0.903142762184143,0.9604960083961487,0.9952361702919006,0.0,0.0,0.0,0.0,18.56932532476603,1.0,2.0,21.0,18.56932532476603,1.0,2.0,21.0,0.9722070649376561,0.9504618525505066,0.970708966255188,0.9952434778213501,0.9722070649376561,0.9504618525505066,0.970708966255188,0.9952434778213501,0.0,0.0,0.0,0.0,92.31658052800671,1.0,3.0,149.0,92.31658052800671,1.0,3.0,149.0,0.9857939738387385,0.9800182580947876,0.982793390750885,0.9952632904052734,0.9857939738387385,0.9800182580947876,0.982793390750885,0.9952632904052734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW,0.0,top1_red,17970,500,0.0,0.0,0.0,0.0,0.7923943430628952,0.4032771706581116,0.9167360365390778,0.9952056109905243,0.10520662326002818,0.0022327060345560313,0.022602724842727184,0.3517836689949036,0.7923943430628952,0.4032771706581116,0.9167360365390778,0.9952056109905243,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.10520662326002818,0.0022327060345560313,0.022602724842727184,0.3517836689949036,0.8232351383771674,0.06999547332525254,0.47964659333229065,2.108953356742859,0.8232351387783565,0.0699954755604267,0.47964659333229065,2.108953356742859,0.0,0.0,0.0,0.0,6.842292710072343,1.0,1.0,8.0,6.842292710072343,1.0,1.0,8.0,0.9537912663945106,0.9032162427902222,0.9606241583824158,0.9952076077461243,0.9537912663945106,0.9032162427902222,0.9606241583824158,0.9952076077461243,0.0,0.0,0.0,0.0,18.476015581524763,1.0,2.0,20.0,18.476015581524763,1.0,2.0,20.0,0.9721599225607858,0.9504732310771942,0.9705728590488434,0.9952148556709289,0.9721599225607858,0.9504732310771942,0.9705728590488434,0.9952148556709289,0.0,0.0,0.0,0.0,90.35548135781859,1.0,3.0,144.0,90.35548135781859,1.0,3.0,144.0,0.985759022810357,0.9800183713436127,0.982758104801178,0.9952487885951996,0.985759022810357,0.9800183713436127,0.982758104801178,0.9952487885951996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW,0.0,top1_green,17825,500,1.0,1.0,1.0,1.0,0.7893813863101965,0.3996829628944397,0.9197705388069153,0.9952515840530396,0.8962988859590608,0.6504589557647705,0.9780095815658569,0.9977662086486816,0.7893813863101965,0.3996829628944397,0.9197705388069153,0.9952515840530396,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8962988859590608,0.6504589557647705,0.9780095815658569,0.9977662086486816,0.8328325200208684,0.07035039067268371,0.4630884528160095,2.158464765548706,0.8328325197580962,0.07035041004419326,0.4630884528160095,2.1584646224975588,0.0,0.0,0.0,0.0,6.744123422159888,1.0,1.0,9.0,6.744123422159888,1.0,1.0,9.0,0.9538269040427402,0.9030404329299927,0.9603753685951233,0.9952537775039673,0.9538269040427402,0.9030404329299927,0.9603753685951233,0.9952537775039673,0.0,0.0,0.0,0.0,18.663394109396915,1.0,2.0,21.0,18.663394109396915,1.0,2.0,21.0,0.9722545908009019,0.9504546761512757,0.9708474278450012,0.9952585220336914,0.9722545908009019,0.9504546761512757,0.9708474278450012,0.9952585220336914,0.0,0.0,0.0,0.0,94.29363253856943,1.0,3.0,154.0,94.29363253856943,1.0,3.0,154.0,0.9858292091812358,0.980018162727356,0.9828311800956726,0.9952726244926453,0.9858292091812358,0.980018162727356,0.9828311800956726,0.9952726244926453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W-soft,0.5,all,35795,500,0.49797457745495183,0.0,0.0,1.0,0.79089396719708,0.4011554479598999,0.9181032180786133,0.995234739780426,0.4991504585054607,0.003203957062214613,0.4985857903957367,0.9968653559684754,0.7872863326808155,0.38616135716438293,0.9170448184013367,0.9952673435211181,1.0371560273781255,1.0,1.0,1.0,0.033077245425338735,0.0,0.0,0.0,0.5351377959777727,0.00527147464454174,0.621129035949707,0.9980966210365295,0.8280143904458633,0.07013055086135864,0.47205477952957153,2.131935405731202,0.8338438675078708,0.0670360654592514,0.4811999797821045,2.139808225631714,0.01481875593377267,-0.11660619080066681,0.004454206675291061,0.1650624692440033,6.793406900405085,1.0,1.0,8.0,6.839782092471015,1.0,1.0,9.0,0.9538090130373292,0.903142762184143,0.9604960083961487,0.9952361702919006,0.9522177528295958,0.8965172052383423,0.9604465365409851,0.9952812552452087,-0.00159126020773344,-0.01715242862701416,-4.559755325317383e-05,0.011846446990966802,18.56932532476603,1.0,2.0,21.0,18.644782790892585,1.0,2.0,21.0,0.9722070649376561,0.9504618525505066,0.970708966255188,0.9952434778213501,0.9711888485671522,0.9446755647659302,0.9710309505462646,0.9952850461006164,-0.0010182163705038515,-0.010356402397155762,2.181529998779297e-05,0.006894874572753907,92.31658052800671,1.0,3.0,149.0,94.9743260231876,1.0,3.0,158.0,0.9857939738387385,0.9800182580947876,0.982793390750885,0.9952632904052734,0.9852187976472153,0.9760092854499817,0.9839807748794556,0.9953442931175231,-0.0005751761915231155,-0.005122578144073487,-1.2993812561035156e-05,0.0032675027847290047,0.5005727056851516,0.00041905294035479815,-0.001581657064296011,0.1157982958513759,0.49939935745215813,0.0,-0.0010194097311350962,0.16784467104344183,0.5001257158821064,0.0,-0.0005729557984312818,0.2611537924291102
W-soft,0.5,top1_red,17970,500,0.0,0.0,0.0,0.0,0.7923943430628952,0.4032771706581116,0.9167360365390778,0.9952056109905243,0.10520662326002818,0.0022327060345560313,0.022602724842727184,0.3517836689949036,0.7620036511211907,0.3338412940502167,0.8926278352737427,0.993683248758316,1.0740122426265999,1.0,1.0,1.0,0.06588759042849193,0.0,0.0,0.0,0.1453843594617285,0.003675785125233233,0.036727068945765495,0.47222663760185246,0.8232351383771674,0.06999547332525254,0.47964659333229065,2.108953356742859,0.9067024421555021,0.09034464284777642,0.5827644467353821,2.2360130786895756,0.09383500854889437,0.018749577924609184,0.0681048333644867,0.20945325940847398,6.842292710072343,1.0,1.0,8.0,7.597607122982749,1.0,2.0,9.0,0.9537912663945106,0.9032162427902222,0.9606241583824158,0.9952076077461243,0.9444921142337186,0.8875282526016235,0.9513228535652161,0.9936959862709045,-0.009299152160792067,-0.024281591176986694,-0.005450725555419922,-0.0010876357555389404,18.476015581524763,1.0,2.0,20.0,21.083917640511963,1.0,2.0,24.0,0.9721599225607858,0.9504732310771942,0.9705728590488434,0.9952148556709289,0.9663072231350571,0.9406989514827728,0.9635283052921295,0.9937116801738739,-0.005852699425728638,-0.013373106718063354,-0.004209309816360474,-0.0010641455650329589,90.35548135781859,1.0,3.0,144.0,111.82877017250973,1.0,4.0,205.0,0.985759022810357,0.9800183713436127,0.982758104801178,0.9952487885951996,0.9825535233842047,0.9749235332012176,0.9797206819057465,0.9937633275985718,-0.003205499426152352,-0.005940455198287964,-0.0028911232948303223,-0.0009308815002441403,0.9564830272676683,0.0008347245409015025,-0.009378711078636661,0.22437395659432388,0.9631608235948803,0.0,-0.005894624250164498,0.3253756260434057,0.971841958820256,0.0,-0.003208022331391975,0.5081803005008347
W-soft,0.5,top1_green,17825,500,1.0,1.0,1.0,1.0,0.7893813863101965,0.3996829628944397,0.9197705388069153,0.9952515840530396,0.8962988859590608,0.6504589557647705,0.9780095815658569,0.9977662086486816,0.8127746798127347,0.45049827098846434,0.9348911643028259,0.9961901426315307,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9280617373069908,0.7541849374771118,0.9865456223487854,0.9986441254615783,0.8328325200208684,0.07035039067268371,0.4630884528160095,2.158464765548706,0.7603926144128954,0.05725661963224411,0.39274340867996216,2.014945697784424,-0.06484026563670346,-0.150330251455307,-0.044171132147312164,-0.011608412489295004,6.744123422159888,1.0,1.0,9.0,6.075792426367461,1.0,1.0,8.0,0.9538269040427402,0.9030404329299927,0.9603753685951233,0.9952537775039673,0.960006236732424,0.9130205750465393,0.9677007794380188,0.9961907625198364,0.006179332689683869,0.0007015705108642578,0.003497004508972168,0.016160047054290774,18.663394109396915,1.0,2.0,21.0,16.185806451612905,1.0,2.0,18.0,0.9722545908009019,0.9504546761512757,0.9708474278450012,0.9952585220336914,0.9761101842762544,0.9552990436553955,0.9761655330657959,0.9961934804916381,0.0038555934753524974,0.0007133722305297851,0.002846658229827881,0.008626878261566162,94.29363253856943,1.0,3.0,154.0,77.98277699859747,1.0,3.0,114.0,0.9858292091812358,0.980018162727356,0.9828311800956726,0.9952726244926453,0.987905752963137,0.9816822171211242,0.9859784841537476,0.9962088346481324,0.0020765437819011416,0.0006611108779907227,0.0019551515579223633,0.003710770606994629,0.04095371669004207,0.0,0.006262781079462708,0.006339410939691445,0.031865357643758765,0.0,0.0038966247603467717,0.00903225806451613,0.024572230014025247,0.0,0.0020870727850726793,0.01211781206171108
W-soft,1.0,all,35795,500,0.49797457745495183,0.0,0.0,1.0,0.79089396719708,0.4011554479598999,0.9181032180786133,0.995234739780426,0.4991504585054607,0.003203957062214613,0.4985857903957367,0.9968653559684754,0.7777776156189051,0.3494401335716248,0.9140830636024475,0.9955241203308105,1.0825534292498953,1.0,1.0,1.0,0.06604274339991618,0.0,0.0,0.0,0.5707390642552788,0.008661570772528649,0.7299448847770691,0.998844563961029,0.8280143904458633,0.07013055086135864,0.47205477952957153,2.131935405731202,0.8491997842847967,0.06224879696965218,0.5049339532852173,2.161575889587403,0.05685157494676631,-0.1966238647699356,0.009334832429885864,0.3841236472129822,6.793406900405085,1.0,1.0,8.0,6.882497555524514,1.0,1.0,9.0,0.9538090130373292,0.903142762184143,0.9604960083961487,0.9952361702919006,0.9475464944883438,0.8780077338218689,0.9601278305053711,0.9955383896827698,-0.006262518548985436,-0.04111512899398804,-9.232759475708008e-05,0.01985480785369874,18.56932532476603,1.0,2.0,21.0,19.23321692973879,1.0,2.0,22.0,0.9722070649376561,0.9504618525505066,0.970708966255188,0.9952434778213501,0.9681173530699304,0.932064950466156,0.9713101387023926,0.9955596208572388,-0.004089711867725571,-0.025375032424926756,3.9577484130859375e-05,0.01144373416900635,92.31658052800671,1.0,3.0,149.0,105.89735996647576,1.0,3.0,185.0,0.9857939738387385,0.9800182580947876,0.982793390750885,0.9952632904052734,0.9834620893659297,0.9687854528427124,0.9851036667823792,0.9956459641456604,-0.0023318844728087524,-0.012940132617950439,-2.396106719970703e-05,0.005341947078704834,0.5006285794105322,0.07199329515295433,-0.00627173393095359,0.16278809889649393,0.4995390417656097,0.007095963123341249,-0.0041058767642860395,0.2160078223215533,0.5003212739209387,0.0,-0.002328002608115284,0.31180332448666015
W-soft,1.0,top1_red,17970,500,0.0,0.0,0.0,0.0,0.7923943430628952,0.4032771706581116,0.9167360365390778,0.9952056109905243,0.10520662326002818,0.0022327060345560313,0.022602724842727184,0.3517836689949036,0.7257599316793403,0.2593647688627243,0.8600781559944153,0.9912494897842408,1.164440734557596,1.0,1.0,2.0,0.1315525876460768,0.0,0.0,1.0,0.19267287238883363,0.006045927572995424,0.05914356745779514,0.5959918141365051,0.8232351383771674,0.06999547332525254,0.47964659333229065,2.108953356742859,0.9984498669684108,0.12194562852382661,0.7189296782016754,2.348201107978821,0.22131396574991158,0.048704634234309194,0.16633223742246628,0.48035623729228977,6.842292710072343,1.0,1.0,8.0,8.314412910406233,1.0,2.0,11.0,0.9537912663945106,0.9032162427902222,0.9606241583824158,0.9952076077461243,0.9311760146318042,0.8583372533321381,0.9387814104557037,0.9913080334663391,-0.022615251762706436,-0.059169822931289674,-0.013186633586883545,-0.0027860701084136954,18.476015581524763,1.0,2.0,20.0,24.318864774624373,1.0,2.0,31.0,0.9721599225607858,0.9504732310771942,0.9705728590488434,0.9952148556709289,0.957714639246696,0.9226507186889649,0.9558398425579071,0.9913292706012726,-0.01444528331408981,-0.033353674411773684,-0.010169893503189087,-0.0026479661464691158,90.35548135781859,1.0,3.0,144.0,145.86577629382305,1.0,5.0,321.0,0.985759022810357,0.9800183713436127,0.982758104801178,0.9952487885951996,0.9777374202666445,0.9660869836807251,0.9767678380012512,0.9913846015930176,-0.008021602543712524,-0.015259146690368652,-0.007032215595245361,-0.002150201797485351,0.9564830272676683,0.14340567612687813,-0.022803835342587588,0.3170840289371174,0.9632164718976072,0.014134668892598776,-0.014543139555532146,0.4217584863661658,0.9720089037284363,0.0,-0.008023112156109487,0.610740122426266
W-soft,1.0,top1_green,17825,500,1.0,1.0,1.0,1.0,0.7893813863101965,0.3996829628944397,0.9197705388069153,0.9952515840530396,0.8962988859590608,0.6504589557647705,0.9780095815658569,0.9977662086486816,0.8302184448135184,0.4855315148830414,0.946912944316864,0.9967646598815918,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9518806893795436,0.8349411487579346,0.9917965531349182,0.9991773128509521,0.8328325200208684,0.07035039067268371,0.4630884528160095,2.158464765548706,0.6987356055569119,0.048881223797798155,0.33672475814819336,1.8858015775680543,-0.10894865858661491,-0.2557319402694702,-0.07324916869401932,-0.01867895983159542,6.744123422159888,1.0,1.0,9.0,5.4389340813464235,1.0,1.0,7.0,0.9538269040427402,0.9030404329299927,0.9603753685951233,0.9952537775039673,0.9640501423437164,0.9185618400573731,0.9730414748191833,0.9967652559280396,0.010223238300976212,0.0011329531669616699,0.005786120891571045,0.02670118808746338,18.663394109396915,1.0,2.0,21.0,14.106199158485273,1.0,2.0,15.0,0.9722545908009019,0.9504546761512757,0.9708474278450012,0.9952585220336914,0.9786046892496513,0.958090078830719,0.9800297617912292,0.9967681407928467,0.006350098448749344,0.0011624336242675782,0.004747927188873291,0.014151692390441896,94.29363253856943,1.0,3.0,154.0,65.60381486676017,1.0,2.0,86.0,0.9858292091812358,0.980018162727356,0.9828311800956726,0.9952726244926453,0.9892333266009455,0.9827629923820496,0.9879773855209351,0.9967835903167724,0.0034041174197096645,0.0010968804359436034,0.0032486319541931152,0.006022727489471436,0.041065918653576436,0.0,0.010361983435520113,0.007237026647966339,0.03208976157082749,0.0,0.006418816879897127,0.008583450210378681,0.02479663394109397,0.0,0.0034223637972186464,0.010434782608695653
W-soft,1.5,all,35795,500,0.49797457745495183,0.0,0.0,1.0,0.79089396719708,0.4011554479598999,0.9181032180786133,0.995234739780426,0.4991504585054607,0.003203957062214613,0.4985857903957367,0.9968653559684754,0.763253817019144,0.29414862394332886,0.9081829786300659,0.9958578228950501,1.1395446291381477,1.0,1.0,1.0,0.0985333147087582,0.0,0.0,0.0,0.6056251774567206,0.014200725220143796,0.8167294263839722,0.9992989897727966,0.8280143904458633,0.07013055086135864,0.47205477952957153,2.131935405731202,0.875057185013915,0.05721518397331238,0.5455935001373291,2.1834575653076183,0.1262820639575668,-0.25033146142959595,0.01510397344827652,0.6596008777618411,6.793406900405085,1.0,1.0,8.0,6.987400474926666,1.0,1.0,9.0,0.9538090130373292,0.903142762184143,0.9604960083961487,0.9952361702919006,0.9396075856121147,0.8509646654129028,0.9584728479385376,0.9958807706832886,-0.014201427425214542,-0.07325536012649536,-0.00012606382369995117,0.02514095306396486,18.56932532476603,1.0,2.0,21.0,20.782120407878196,1.0,2.0,25.0,0.9722070649376561,0.9504618525505066,0.970708966255188,0.9952434778213501,0.9627501050925384,0.9132188558578491,0.9703871011734009,0.9959083318710327,-0.009456959845117557,-0.04635469913482666,5.27501106262207e-05,0.014361262321472168,92.31658052800671,1.0,3.0,149.0,133.61114680821345,1.0,4.0,271.0,0.9857939738387385,0.9800182580947876,0.982793390750885,0.9952632904052734,0.9803202314556003,0.9577540040016175,0.9848145246505737,0.9960162281990051,-0.00547374238313818,-0.024596762657165528,-3.331899642944336e-05,0.006645238399505616,0.5006285794105322,0.15373655538483028,-0.014252451664216945,0.19583740745914233,0.4995669786283,0.08735856963263025,-0.009499232504584882,0.2506495320575499,0.5003771476463194,0.0007542952926386367,-0.005466251403885148,0.357116915770359
